Time,Roll,Pitch,Yaw,X-Position,Y-Position,Z-Position
0,0.043050762594268495,-0.12744865155429455,-0.07479579541841987,-0.33897931314552565,-1.7775516889723855,-0.7239230150896272
0.0003571510314941406,0.04303934333544183,-0.1275667113654857,-0.07484392831345969,-0.3391449930578237,-1.7773799970161144,-0.7243389949192623
0.0004951953887939453,0.04303972177599383,-0.12762380873408868,-0.07489291154010394,-0.3390331936767969,-1.7773787874043019,-0.7244134978744264
0.0010139942169189453,0.043108782421429154,-0.1276884623830056,-0.07498057380422407,-0.33949549544446006,-1.777174899838549,-0.7245295724961487
0.0011510848999023438,0.04315625133994837,-0.12771821613874068,-0.075072046490048,-0.3391273919760218,-1.777277925923919,-0.7245398221774495
0.0013041496276855469,0.043115299669225476,-0.12779041631679097,-0.07508362036073549,-0.33919953434935096,-1.77742489394108,-0.7243019228058758
0.0014619827270507812,0.04311359230177841,-0.1278113701794082,-0.07510755710396985,-0.3390290327457861,-1.7774880151457066,-0.7241448956586893
0.0016140937805175781,0.043074893035313214,-0.12790216897234707,-0.07515932429810482,-0.3389529335410887,-1.7774144543671864,-0.7240320855912742
0.0017590522766113281,0.043054337306628485,-0.12797356829657536,-0.07521480815015631,-0.33901710172012306,-1.7774477371830117,-0.7237846896107067
0.0019061565399169922,0.04306580732584284,-0.12802541545116092,-0.07531572951981796,-0.3390128049778008,-1.777382884260888,-0.7241236826029905
0.020333051681518555,0.04302726086687622,-0.12814303447159317,-0.07538673267963666,-0.3392006678169831,-1.7773101292469857,-0.7241500172959849
0.020742177963256836,0.04293768254000609,-0.12821013219053656,-0.07541615844068737,-0.3390331689904577,-1.7774767561402345,-0.7240055970572625
0.02086806297302246,0.042860973817851256,-0.12826655570045756,-0.07546067812518843,-0.3389900227037374,-1.7776371321748294,-0.7238241014541027
0.021010160446166992,0.042802437525207834,-0.12833647870700352,-0.07557212352517681,-0.338856180269402,-1.7774028074665358,-0.723968862265103
0.021119117736816406,0.04277683398852221,-0.12839159261593894,-0.075648089124595,-0.338907570627436,-1.7775266979146662,-0.7237490491504902
0.021223068237304688,0.04280404876568662,-0.1284350954059475,-0.07570408868889783,-0.3389010696284,-1.7775674648332536,-0.7237580756544055
0.02132701873779297,0.042812208979501984,-0.12852679661783148,-0.075717672812336,-0.33894057318211,-1.777521270648927,-0.7238813259429044
0.021541118621826172,0.042772924112232026,-0.12861244702086735,-0.07571808480909638,-0.3385546322692417,-1.77769486770696,-0.7236348131494044
0.023090124130249023,0.04275989617825871,-0.12868760598388318,-0.07575200979960965,-0.33871290159300166,-1.7776007455078344,-0.7235050509962487
0.029778003692626953,0.04282040830196679,-0.1288151859118234,-0.07585459689127033,-0.33863716840974484,-1.777615364612023,-0.723468764306612
0.0704050064086914,0.042875262763837914,-0.1289372840138398,-0.07596402875506317,-0.3387400196950201,-1.777474795538946,-0.7236226073522984
0.07054805755615234,0.042909622759092964,-0.12898793405648173,-0.07603654504205141,-0.3385992066534851,-1.7775827588957611,-0.7234559920053736
0.07070708274841309,0.042890196987548354,-0.1290062016904971,-0.07612721388421134,-0.33880660558170705,-1.7774743930536998,-0.7239000246073518
0.07082819938659668,0.042873893535089316,-0.1290419329275325,-0.07620723108230429,-0.3386492906781568,-1.7776178532041316,-0.7235981998721515
0.07093501091003418,0.04291181630598272,-0.12913933015829454,-0.07626489946160528,-0.3389280258687209,-1.7774943041073932,-0.7237410149650086
0.07120704650878906,0.042929745688618084,-0.1291743519736138,-0.07632264772198491,-0.3388892514895614,-1.7774432719943907,-0.7238867199802257
0.07131218910217285,0.04287505243668325,-0.12923249194138614,-0.07634489952556538,-0.3390153090767261,-1.7777076850312237,-0.7235945821188751
0.07141613960266113,0.04287421054148643,-0.12934151354539483,-0.07635434650506971,-0.3387595489388207,-1.7774172985014922,-0.723548986554938
0.10848212242126465,0.04285192766868434,-0.1294097353096998,-0.07641901823820765,-0.3388860739945195,-1.77742404184245,-0.7234959318124528
0.10863208770751953,0.04276782893327673,-0.12944754146738294,-0.07652106183222328,-0.3388502670889878,-1.7774938185659117,-0.7234516551289347
0.10874199867248535,0.042690162953210035,-0.12947314247997543,-0.07658711878638155,-0.3387322512867147,-1.7775011881645049,-0.7234697859583552
0.10897111892700195,0.042616868936048186,-0.1295102373894319,-0.07660280146891042,-0.33870029228767357,-1.777617287526413,-0.7233599022699433
0.10907506942749023,0.0424728324531681,-0.12944390295426716,-0.0766470431158586,-0.33770771970709285,-1.7769511028981342,-0.7233083449474786
0.14484310150146484,0.04247701685832598,-0.12953034708876746,-0.07670968863386064,-0.3377476475773413,-1.777184681543482,-0.7229473034886021
0.14500713348388672,0.04244872302650612,-0.12959087785941475,-0.07683733022712443,-0.33745596711357684,-1.7772983640750217,-0.7229239323297447
0.14511704444885254,0.04240060636322591,-0.12967828674847004,-0.07690594870679103,-0.33767300215448237,-1.7771164578128376,-0.7229964467733441
0.4133720397949219,0.04238547851874011,-0.12976612618529024,-0.07696314203268265,-0.33772854797790597,-1.7771282072427186,-0.7231147158607069
0.4137730598449707,0.04237455655216649,-0.12982752254260455,-0.0770527034848969,-0.33779528804432446,-1.7768758907627316,-0.7235606218402196
0.4138801097869873,0.042389357909302074,-0.1299354244261639,-0.07709694995575081,-0.33777562759710483,-1.7771778816600539,-0.7230592529479705
0.4139862060546875,0.04243471758913827,-0.1300151055964473,-0.07712561753899086,-0.3376976321561907,-1.7771494871972138,-0.7235216988817439
